user_interest,current_season,user_region_pref,limited_time,site_region,site_category,historical_period,site_popularity,label
Mystery,Summer,Any,0,Central Bosnia,monument,Medieval/Modern,2,1
Mystery,Winter,Central Bosnia,0,Central Bosnia,museum,Medieval/Modern,1,1
Mystery,Summer,Any,1,Sarajevo Region,other heritage/leisure,Modern,3,1
Nature,Autumn,Eastern Bosnia,0,Herzegovina,monument,Ottoman,1,0
Mystery,Winter,Eastern Bosnia,1,Herzegovina,monument,Ottoman,1,0
Culture & Urban,Spring,Eastern Bosnia,0,Central Bosnia,fortress,15th century,1,0
Quick Stop,Spring,Sarajevo Region,0,Eastern Bosnia,monument,Ottoman,3,0
Mystery,Spring,Eastern Bosnia,0,Central Bosnia,hidden gem,Unknown,1,1
History,Spring,Sarajevo Region,0,Central Bosnia,hidden gem,Medieval/Ottoman,1,0
History,Winter,Eastern Bosnia,0,Herzegovina,museum,Ottoman,2,1
Quick Stop,Spring,Krajina,1,Central Bosnia,nature,Medieval/Modern,2,1
Mystery,Autumn,Any,0,Eastern Bosnia,fortress,Medieval,1,0
Quick Stop,Summer,Any,1,Herzegovina,monument,Ottoman,2,1
Quick Stop,Summer,Northern Bosnia,0,Sarajevo Region,museum,Ottoman,2,1
Quick Stop,Autumn,Any,0,Herzegovina,monument,Ancient,2,1
Mystery,Spring,Northern Bosnia,0,Herzegovina,other heritage/leisure,20th century,3,1
Mystery,Summer,Any,0,Central Bosnia,nature,Unknown,2,1
Quick Stop,Summer,Any,1,Central Bosnia,fortress,Medieval,2,1
Culture & Urban,Summer,Central Bosnia,1,Central Bosnia,nature,Unknown,2,1
History,Winter,Sarajevo Region,1,Central Bosnia,monument,Ottoman,2,1
Nature,Autumn,Any,1,Sarajevo Region,museum,Modern,3,1
Mystery,Autumn,Eastern Bosnia,1,Central Bosnia,nature,Austro-Hungarian,3,0
Culture & Urban,Summer,Any,0,Krajina,fortress,Ottoman,1,1
Quick Stop,Winter,Sarajevo Region,1,Krajina,nature,Geological,2,0
Mystery,Winter,Krajina,0,Herzegovina,religious,Austro-Hungarian,2,0
Quick Stop,Winter,Any,0,Central Bosnia,monument,Medieval/Modern,2,1
Nature,Spring,Herzegovina,0,Central Bosnia,nature,Modern,3,1
Culture & Urban,Spring,Any,1,Central Bosnia,other heritage/leisure,Modern,2,1
Mystery,Spring,Any,0,Herzegovina,nature,Geological,3,1
Culture & Urban,Summer,Any,1,Central Bosnia,archaeological,Unknown,3,1
History,Autumn,Herzegovina,1,Central Bosnia,fortress,Medieval,1,0
Quick Stop,Winter,Eastern Bosnia,1,Central Bosnia,fortress,Medieval/Ottoman,1,0
History,Autumn,Northern Bosnia,0,Eastern Bosnia,monument,Modern,3,1
History,Summer,Any,1,Central Bosnia,nature,Modern,2,0
Culture & Urban,Spring,Northern Bosnia,0,Central Bosnia,hidden gem,Prehistoric/Medieval,1,1
Culture & Urban,Autumn,Sarajevo Region,1,Sarajevo Region,urban heritage,Modern,3,1
Quick Stop,Autumn,Central Bosnia,1,Herzegovina,hidden gem,Prehistoric,1,1
Nature,Summer,Krajina,0,Central Bosnia,nature,Modern,2,1
History,Summer,Eastern Bosnia,1,Central Bosnia,monument,Roman,2,1
History,Summer,Northern Bosnia,0,Sarajevo Region,urban heritage,Ottoman,3,1
History,Summer,Any,0,Sarajevo Region,monument,Modern,2,1
Culture & Urban,Winter,Any,1,Central Bosnia,museum,Medieval/Modern,1,1
History,Autumn,Any,0,Herzegovina,hidden gem,Ancient,1,1
Culture & Urban,Autumn,Krajina,0,Central Bosnia,monument,Medieval/Modern,2,0
Quick Stop,Spring,Any,1,Sarajevo Region,monument,Modern,2,1
Quick Stop,Spring,Any,1,Central Bosnia,nature,Modern,2,1
Nature,Spring,Any,0,Herzegovina,hidden gem,Ottoman,1,1
Culture & Urban,Spring,Sarajevo Region,1,Central Bosnia,fortress,Medieval,1,0
Mystery,Autumn,Eastern Bosnia,0,Central Bosnia,traditional village,Unknown,2,0
Nature,Winter,Sarajevo Region,1,Herzegovina,monument,Ottoman,1,0
History,Winter,Herzegovina,0,Central Bosnia,religious,Ottoman,2,0
History,Summer,Any,0,Northern Bosnia,monument,20th century,3,1
Nature,Summer,Krajina,0,Central Bosnia,hidden gem,Controversial,2,0
History,Autumn,Eastern Bosnia,1,Herzegovina,museum,Modern,3,1
Culture & Urban,Autumn,Sarajevo Region,0,Herzegovina,fortress,Medieval/Ottoman,2,0
History,Summer,Northern Bosnia,1,Sarajevo Region,museum,Ottoman,3,1
Mystery,Spring,Krajina,0,Central Bosnia,fortress,Medieval,1,1
Nature,Autumn,Sarajevo Region,1,Northern Bosnia,monument,Ottoman,2,1
Culture & Urban,Winter,Central Bosnia,1,Herzegovina,nature,Unknown,1,0
Nature,Winter,Any,0,Northern Bosnia,fortress,Ottoman,2,1
Mystery,Winter,Any,1,Herzegovina,monument,Medieval,3,1
Culture & Urban,Winter,Any,1,Central Bosnia,monument,Medieval,1,0
Nature,Spring,Central Bosnia,1,Herzegovina,monument,Ottoman,2,1
Quick Stop,Summer,Any,0,Central Bosnia,hidden gem,Unknown,1,1
Nature,Spring,Northern Bosnia,1,Northern Bosnia,archaeological,Roman,1,1
Culture & Urban,Winter,Any,1,Northern Bosnia,fortress,Medieval/Ottoman,2,1
Mystery,Winter,Northern Bosnia,1,Eastern Bosnia,religious,Modern,2,1
Quick Stop,Spring,Any,0,Central Bosnia,museum,Ottoman,2,1
Quick Stop,Winter,Any,0,Herzegovina,fortress,Medieval/Ottoman,2,1
History,Summer,Central Bosnia,0,Central Bosnia,monument,Yugoslavia,1,1
History,Summer,Any,1,Central Bosnia,traditional village,Traditional,2,0
History,Autumn,Any,0,Northern Bosnia,monument,Yugoslavia,2,1
Nature,Winter,Central Bosnia,0,Herzegovina,hidden gem,Geological,1,0
Culture & Urban,Autumn,Krajina,1,Krajina,religious,Gothic/Ottoman,2,1
Culture & Urban,Autumn,Eastern Bosnia,0,Central Bosnia,museum,Austro-Hungarian,2,0
History,Summer,Krajina,1,Herzegovina,monument,Ottoman,1,1
Quick Stop,Autumn,Herzegovina,1,Northern Bosnia,fortress,14th century,2,1
Culture & Urban,Winter,Sarajevo Region,0,Central Bosnia,religious,Ottoman,2,1
History,Winter,Any,0,Central Bosnia,nature,Geological,1,0
Culture & Urban,Summer,Any,1,Northern Bosnia,monument,Yugoslavia,2,1
Culture & Urban,Spring,Any,0,Herzegovina,monument,Yugoslavia,3,1
Mystery,Summer,Central Bosnia,1,Krajina,monument,Yugoslavia,2,1
Culture & Urban,Spring,Central Bosnia,0,Northern Bosnia,fortress,Medieval,1,0
History,Summer,Any,0,Herzegovina,nature,Geological,2,1
Culture & Urban,Spring,Any,0,Sarajevo Region,monument,Medieval/Modern,2,1
Nature,Winter,Any,1,Northern Bosnia,nature,Unknown,2,1
History,Autumn,Central Bosnia,1,Central Bosnia,monument,Medieval,3,1
Nature,Spring,Sarajevo Region,0,Herzegovina,religious,Medieval/Ottoman,2,0
Nature,Winter,Any,0,Sarajevo Region,museum,Ottoman/Austro-Hungarian,2,1
History,Autumn,Northern Bosnia,1,Northern Bosnia,fortress,Medieval/Ottoman,2,1
Nature,Winter,Krajina,0,Herzegovina,traditional village,Medieval/Traditional,1,0
Quick Stop,Autumn,Any,1,Herzegovina,other heritage/leisure,20th century,3,1
Mystery,Spring,Central Bosnia,0,Sarajevo Region,museum,Ottoman,2,1
Culture & Urban,Spring,Any,0,Herzegovina,nature,Modern,2,0
Nature,Autumn,Any,1,Central Bosnia,religious,Medieval,3,1
Culture & Urban,Spring,Any,1,Herzegovina,religious,Medieval,2,1
Mystery,Summer,Krajina,0,Northern Bosnia,fortress,14th century,2,0
Quick Stop,Winter,Any,0,Herzegovina,monument,Ottoman,3,0
Mystery,Winter,Any,0,Herzegovina,museum,Modern,1,1
Nature,Spring,Eastern Bosnia,1,Central Bosnia,museum,Medieval,2,1
Mystery,Autumn,Herzegovina,0,Sarajevo Region,monument,Modern,2,1
Culture & Urban,Spring,Any,1,Northern Bosnia,monument,Ottoman,2,1
Nature,Winter,Central Bosnia,0,Sarajevo Region,religious,Ottoman,3,0
Quick Stop,Summer,Any,0,Northern Bosnia,traditional village,Traditional,1,0
Quick Stop,Winter,Any,0,Krajina,monument,Yugoslavia,2,1
History,Autumn,Krajina,0,Central Bosnia,religious,Medieval,2,1
History,Summer,Krajina,0,Herzegovina,monument,Medieval,1,1
Nature,Autumn,Any,1,Herzegovina,religious,Medieval,1,1
Nature,Summer,Any,1,Central Bosnia,nature,Modern,2,0
Mystery,Spring,Eastern Bosnia,1,Central Bosnia,nature,Modern,2,0
Culture & Urban,Winter,Any,1,Herzegovina,archaeological,14th century,3,1
History,Winter,Northern Bosnia,1,Herzegovina,religious,Medieval,1,1
History,Autumn,Any,1,Central Bosnia,religious,Ottoman,1,1
Culture & Urban,Autumn,Herzegovina,0,Sarajevo Region,museum,Austro-Hungarian,2,0
Mystery,Summer,Any,0,Central Bosnia,monument,Medieval,1,1
History,Winter,Herzegovina,0,Sarajevo Region,museum,Modern,2,1
Mystery,Summer,Any,0,Central Bosnia,nature,Ottoman,2,1
Nature,Summer,Any,1,Herzegovina,monument,Yugoslavia,3,1
Nature,Autumn,Any,0,Sarajevo Region,museum,Ottoman,3,1
Nature,Autumn,Any,1,Sarajevo Region,other heritage/leisure,Modern,2,1
Mystery,Winter,Sarajevo Region,1,Herzegovina,traditional village,Medieval/Traditional,1,0
Nature,Winter,Any,1,Herzegovina,nature,Modern,1,1
Mystery,Autumn,Any,0,Central Bosnia,religious,Ottoman,1,1
Mystery,Summer,Krajina,1,Northern Bosnia,religious,Ottoman,2,1
History,Spring,Any,0,Krajina,fortress,16th-19th century,2,1
History,Spring,Any,1,Eastern Bosnia,monument,Medieval,1,1
Quick Stop,Autumn,Krajina,1,Sarajevo Region,religious,Ottoman,3,1
Culture & Urban,Autumn,Sarajevo Region,0,Eastern Bosnia,monument,Ottoman,3,0
Culture & Urban,Autumn,Any,1,Central Bosnia,nature,Modern,3,0
Mystery,Spring,Krajina,1,Central Bosnia,religious,Ottoman,1,1
Nature,Autumn,Eastern Bosnia,0,Northern Bosnia,fortress,Medieval/Ottoman,1,0
Culture & Urban,Winter,Eastern Bosnia,0,Central Bosnia,fortress,Medieval,1,0
Culture & Urban,Summer,Central Bosnia,1,Sarajevo Region,museum,Austro-Hungarian,2,1
Nature,Autumn,Krajina,1,Northern Bosnia,monument,20th century,3,0
Culture & Urban,Autumn,Eastern Bosnia,1,Central Bosnia,museum,Yugoslavia,2,1
Mystery,Summer,Any,0,Krajina,fortress,Medieval,1,1
Mystery,Winter,Northern Bosnia,0,Herzegovina,nature,Geological,3,0
Mystery,Summer,Eastern Bosnia,1,Herzegovina,nature,Modern,2,1
Mystery,Summer,Central Bosnia,0,Herzegovina,museum,Modern,2,0
Mystery,Autumn,Sarajevo Region,0,Krajina,nature,Unknown,2,1
Quick Stop,Spring,Any,0,Herzegovina,monument,Ancient,2,1
History,Summer,Eastern Bosnia,1,Sarajevo Region,monument,Ottoman,3,1
Quick Stop,Summer,Any,1,Krajina,fortress,Austro-Hungarian,2,1
